wavelet,svm_test_accuracy,svm_test_precision,svm_test_recall,svm_test_f1,svm_test_roc_auc,svm_cv_accuracy_mean,svm_cv_precision_mean,svm_cv_recall_mean,svm_cv_f1_mean,svm_cv_roc_auc_mean,svm_cv_accuracy_std,svm_cv_precision_std,svm_cv_recall_std,svm_cv_f1_std,svm_cv_roc_auc_std,xgboost_test_accuracy,xgboost_test_precision,xgboost_test_recall,xgboost_test_f1,xgboost_test_roc_auc,xgboost_cv_accuracy_mean,xgboost_cv_precision_mean,xgboost_cv_recall_mean,xgboost_cv_f1_mean,xgboost_cv_roc_auc_mean,xgboost_cv_accuracy_std,xgboost_cv_precision_std,xgboost_cv_recall_std,xgboost_cv_f1_std,xgboost_cv_roc_auc_std,random_forest_test_accuracy,random_forest_test_precision,random_forest_test_recall,random_forest_test_f1,random_forest_test_roc_auc,random_forest_cv_accuracy_mean,random_forest_cv_precision_mean,random_forest_cv_recall_mean,random_forest_cv_f1_mean,random_forest_cv_roc_auc_mean,random_forest_cv_accuracy_std,random_forest_cv_precision_std,random_forest_cv_recall_std,random_forest_cv_f1_std,random_forest_cv_roc_auc_std,naive_bayes_test_accuracy,naive_bayes_test_precision,naive_bayes_test_recall,naive_bayes_test_f1,naive_bayes_test_roc_auc,naive_bayes_cv_accuracy_mean,naive_bayes_cv_precision_mean,naive_bayes_cv_recall_mean,naive_bayes_cv_f1_mean,naive_bayes_cv_roc_auc_mean,naive_bayes_cv_accuracy_std,naive_bayes_cv_precision_std,naive_bayes_cv_recall_std,naive_bayes_cv_f1_std,naive_bayes_cv_roc_auc_std
bior1.1,0.946522,0.918114,0.804348,0.857474,0.966819,0.947217,0.911162,0.815652,0.860656,0.970076,0.004093,0.008873,0.018518,0.011923,0.004269,0.945652,0.911548,0.806522,0.855825,0.973185,0.946783,0.896658,0.829565,0.861791,0.973904,0.005171,0.014746,0.013231,0.013430,0.004623,0.943913,0.918987,0.789130,0.849123,0.967241,0.941391,0.905365,0.789565,0.843373,0.968767,0.003834,0.008993,0.018822,0.011570,0.003570,0.903913,0.798005,0.695652,0.743322,0.935699,0.898261,0.777284,0.689565,0.730556,0.935877,0.004988,0.020756,0.015760,0.012099,0.006309
bior2.2,0.956087,0.930456,0.843478,0.884835,0.979008,0.951565,0.919853,0.830435,0.872716,0.978641,0.001836,0.011097,0.013116,0.005218,0.002392,0.962174,0.932715,0.873913,0.902357,0.985058,0.954957,0.908345,0.861739,0.884365,0.984223,0.003571,0.006607,0.015712,0.009790,0.001587,0.952609,0.918854,0.836957,0.875995,0.979592,0.948957,0.913381,0.823043,0.865748,0.978897,0.002438,0.011397,0.012344,0.006610,0.002308,0.883043,0.662139,0.847826,0.743565,0.941213,0.881652,0.662968,0.831304,0.737501,0.935723,0.004813,0.011964,0.018167,0.010004,0.005119
bior6.8,0.934348,0.909814,0.745652,0.819594,0.974630,0.934087,0.882873,0.773043,0.824271,0.973158,0.002799,0.008524,0.010703,0.007852,0.001347,0.952609,0.903448,0.854348,0.878212,0.985746,0.953391,0.892128,0.872609,0.882115,0.984716,0.002755,0.006929,0.018271,0.008096,0.001578,0.947391,0.914425,0.813043,0.860759,0.978816,0.948870,0.902665,0.834348,0.867065,0.978964,0.003485,0.006416,0.017413,0.010140,0.001589,0.828261,0.558984,0.669565,0.609298,0.893169,0.828957,0.559483,0.681304,0.614383,0.890164,0.006960,0.014372,0.018271,0.015553,0.006746
coif16,0.916957,0.804989,0.771739,0.788013,0.961753,0.918261,0.822601,0.754348,0.786863,0.962393,0.007005,0.022348,0.019002,0.017814,0.004147,0.928261,0.825607,0.813043,0.819277,0.971453,0.929217,0.824384,0.821304,0.822723,0.970323,0.007799,0.021506,0.022314,0.019555,0.004312,0.923478,0.818386,0.793478,0.805740,0.967116,0.925565,0.821487,0.802609,0.811860,0.964824,0.006279,0.020447,0.012556,0.014815,0.003254,0.877391,0.696035,0.686957,0.691466,0.912936,0.876000,0.696907,0.673043,0.684654,0.909232,0.007502,0.020950,0.020141,0.018566,0.007494
coif2,0.963043,0.939110,0.871739,0.904171,0.982929,0.957217,0.923733,0.856957,0.889044,0.982970,0.003816,0.012686,0.010861,0.009746,0.003420,0.963043,0.931034,0.880435,0.905028,0.989668,0.956348,0.905938,0.872609,0.888881,0.985487,0.004009,0.015836,0.009284,0.009657,0.002122,0.949130,0.911271,0.826087,0.866591,0.984788,0.946696,0.905038,0.819565,0.860158,0.980282,0.004671,0.014873,0.011085,0.012006,0.002853,0.844783,0.575847,0.850000,0.686567,0.928622,0.830609,0.550145,0.842609,0.665614,0.919578,0.008248,0.014054,0.014062,0.013677,0.007237
coif4,0.942609,0.877880,0.828261,0.852349,0.977248,0.943913,0.882049,0.830870,0.855626,0.978069,0.002858,0.012398,0.008180,0.006895,0.000897,0.953478,0.909513,0.852174,0.879910,0.982115,0.950609,0.886729,0.863478,0.874892,0.983006,0.004009,0.012697,0.011939,0.010054,0.001524,0.943913,0.904645,0.804348,0.851554,0.978228,0.941565,0.885583,0.813043,0.847641,0.978690,0.003441,0.011216,0.015616,0.009621,0.001437,0.883913,0.718821,0.689130,0.703663,0.923970,0.886522,0.734637,0.677826,0.704952,0.927087,0.007763,0.023113,0.021050,0.019784,0.005010
coif8,0.917391,0.806818,0.771739,0.788889,0.960982,0.918957,0.818603,0.764783,0.790642,0.961659,0.005850,0.021529,0.012251,0.013634,0.004226,0.927826,0.828125,0.806522,0.817181,0.970953,0.929217,0.824936,0.820870,0.822787,0.969546,0.006457,0.022826,0.009386,0.014525,0.003326,0.929130,0.832215,0.808696,0.820287,0.967778,0.925826,0.821920,0.803478,0.812545,0.965096,0.006949,0.020600,0.014910,0.016769,0.002817,0.879130,0.716667,0.654348,0.684091,0.914303,0.874957,0.709015,0.636087,0.670556,0.909484,0.006987,0.021500,0.013652,0.017084,0.006777
db16,0.946087,0.901914,0.819565,0.858770,0.972733,0.940174,0.871915,0.822174,0.846132,0.972472,0.003237,0.017545,0.010507,0.007049,0.002830,0.941739,0.889952,0.808696,0.847380,0.976754,0.943565,0.874083,0.838696,0.855964,0.976081,0.004412,0.011362,0.015458,0.011761,0.002356,0.934783,0.891414,0.767391,0.824766,0.971940,0.934087,0.875289,0.782174,0.826055,0.970680,0.004815,0.018864,0.007826,0.011643,0.003430,0.863043,0.625650,0.784783,0.696239,0.913705,0.856522,0.611855,0.774783,0.683547,0.905198,0.007541,0.016505,0.022784,0.015312,0.007074
db2,0.960435,0.946731,0.850000,0.895762,0.981233,0.960087,0.926819,0.869130,0.896975,0.984263,0.003941,0.010553,0.015211,0.010562,0.003136,0.963043,0.943262,0.867391,0.903737,0.985302,0.961826,0.927829,0.877391,0.901859,0.987203,0.003200,0.006685,0.013373,0.008684,0.001803,0.955652,0.949749,0.821739,0.881119,0.981771,0.955565,0.932331,0.838696,0.882925,0.982526,0.004813,0.008783,0.020824,0.013526,0.003178,0.901304,0.695142,0.902174,0.785241,0.956498,0.888609,0.664784,0.895217,0.762830,0.953380,0.006014,0.015207,0.012328,0.010197,0.004473
db4,0.961304,0.936471,0.865217,0.899435,0.983419,0.957304,0.924139,0.856957,0.889234,0.982750,0.004054,0.012605,0.012174,0.010569,0.003152,0.962609,0.932870,0.876087,0.903587,0.985306,0.955739,0.912092,0.862174,0.886286,0.983362,0.003439,0.016637,0.011388,0.008336,0.002268,0.948261,0.923077,0.808696,0.862109,0.980598,0.946609,0.920435,0.802609,0.857363,0.975381,0.003316,0.012084,0.015211,0.009373,0.002817,0.875652,0.640323,0.863043,0.735185,0.939698,0.861391,0.609909,0.851739,0.710804,0.928866,0.007842,0.014051,0.020642,0.016427,0.007154
